NAMESPACE        PODNAME                                                      CONTAINER                        PULL          IMAGE                                                                         TAG
enkryptai-stack  enkryptai-supabase-auth-644ff7db45-tpvk4                     supabase-auth                    IfNotPresent  supabase/gotrue                                                               v2.169.0
enkryptai-stack  enkryptai-supabase-kong-5b98766c88-mwh27                     supabase-kong                    IfNotPresent  kong                                                                          2.8.1
enkryptai-stack  enkryptai-supabase-meta-94dc496c7-mfzx7                      supabase-meta                    IfNotPresent  supabase/postgres-meta                                                        v0.86.0
enkryptai-stack  enkryptai-supabase-minio-d9588f655-t4hcr                     supabase-minio                   IfNotPresent  minio/minio                                                                   latest
enkryptai-stack  enkryptai-supabase-rest-5665686fb5-rm52j                     supabase-rest                    IfNotPresent  postgrest/postgrest                                                           v12.2.8
enkryptai-stack  enkryptai-supabase-studio-54f75d666c-gkj6v                   supabase-studio                  IfNotPresent  supabase/studio                                                               20240326-5e5586d
enkryptai-stack  frontend-7b458bc54b-pjff4                                    frontend                         IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/frontend          dd3c7e3
enkryptai-stack  gateway-kong-568dc7df98-zs965                                gateway-migrations               IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/gateway           2710bcb
enkryptai-stack  gateway-kong-568dc7df98-zs965                                gateway-migrations-up            IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/gateway           2710bcb
enkryptai-stack  gateway-kong-568dc7df98-zs965                                gateway                          IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/gateway           2710bcb
enkryptai-stack  gateway-kong-568dc7df98-zs965                                gateway-deck-sync                IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/gateway-sync      2710bcb
enkryptai-stack  gateway-kong-568dc7df98-zs965                                fluent-bit                       IfNotPresent  fluent/fluent-bit                                                             3.2.1
enkryptai-stack  gpu-feature-discovery-z4hh6                                  toolkit-validation               IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  gpu-feature-discovery-z4hh6                                  gpu-feature-discovery-imex-init  IfNotPresent  nvcr.io/nvidia/k8s-device-plugin                                              v0.17.0-ubi9
enkryptai-stack  gpu-feature-discovery-z4hh6                                  gpu-feature-discovery            IfNotPresent  nvcr.io/nvidia/k8s-device-plugin                                              v0.17.0-ubi9
enkryptai-stack  gpu-operator-7f79f8575d-jshf8                                gpu-operator                     IfNotPresent  nvcr.io/nvidia/gpu-operator                                                   v24.9.0
enkryptai-stack  guardrails-f9dbfb7bf-2mkvf                                   guardrails                       IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/guardrails        aa2fdfb
enkryptai-stack  httpbin-5c765cf794-8zzjz                                     main                             IfNotPresent  quay.io/holos/mccutchen/go-httpbin                                            v2.14.1@sha256:2612f203b1be154524b0dbb65212a158776f0643e2f6e1dad45984fc93413d97
enkryptai-stack  keydb-0                                                      keydb                            IfNotPresent  eqalpha/keydb                                                                 x86_64_v6.3.2
enkryptai-stack  keydb-1                                                      keydb                            IfNotPresent  eqalpha/keydb                                                                 x86_64_v6.3.2
enkryptai-stack  keydb-2                                                      keydb                            IfNotPresent  eqalpha/keydb                                                                 x86_64_v6.3.2
enkryptai-stack  minio-5f47dbdf44-4nqrg                                       main                             IfNotPresent  quay.io/minio/minio                                                           RELEASE.2022-11-17T23-20-09Z@sha256:b2a98df34c3e8d605a5e96f0bc1657dd440a5bd53d95465a7b342e736da9c6cf
enkryptai-stack  nats-0                                                       nats                             IfNotPresent  nats                                                                          2.11.8-alpine
enkryptai-stack  nats-0                                                       reloader                         IfNotPresent  natsio/nats-server-config-reloader                                            0.19.1
enkryptai-stack  nats-0                                                       prom-exporter                    IfNotPresent  natsio/prometheus-nats-exporter                                               0.17.3
enkryptai-stack  nats-box-66955778dd-pd8b2                                    nats-box                         IfNotPresent  natsio/nats-box                                                               0.18.0
enkryptai-stack  nginx-html-5cfc588d7b-sfb9s                                  nginx                            IfNotPresent  nginx                                                                         alpine
enkryptai-stack  nvidia-container-toolkit-daemonset-xjkr7                     driver-validation                IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-container-toolkit-daemonset-xjkr7                     nvidia-container-toolkit-ctr     IfNotPresent  nvcr.io/nvidia/k8s/container-toolkit                                          v1.13.1-ubi8
enkryptai-stack  nvidia-cuda-validator-wlt9h                                  cuda-validation                  IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-cuda-validator-wlt9h                                  nvidia-cuda-validator            IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-dcgm-exporter-7kc2m                                   toolkit-validation               IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-dcgm-exporter-7kc2m                                   nvidia-dcgm-exporter             IfNotPresent  nvcr.io/nvidia/k8s/dcgm-exporter                                              3.3.8-3.6.0-ubuntu22.04
enkryptai-stack  nvidia-device-plugin-daemonset-nckh4                         toolkit-validation               IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-device-plugin-daemonset-nckh4                         nvidia-device-plugin             IfNotPresent  nvcr.io/nvidia/k8s-device-plugin                                              v0.17.0-ubi9
enkryptai-stack  nvidia-operator-validator-fkc5v                              driver-validation                IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-operator-validator-fkc5v                              toolkit-validation               IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-operator-validator-fkc5v                              cuda-validation                  IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-operator-validator-fkc5v                              plugin-validation                IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  nvidia-operator-validator-fkc5v                              nvidia-operator-validator        IfNotPresent  nvcr.io/nvidia/cloud-native/gpu-operator-validator                            v24.9.0
enkryptai-stack  openfga-69fc7c74b7-pntrs                                     wait-for-migration               IfNotPresent  groundnuty/k8s-wait-for                                                       v2.0
enkryptai-stack  openfga-69fc7c74b7-pntrs                                     openfga                          Always        openfga/openfga                                                               v1.8.9
enkryptai-stack  openfga-migrate-95zqm                                        migrate-database                 IfNotPresent  openfga/openfga                                                               v1.8.9
enkryptai-stack  opensearch-controller-manager-c9d999556-9b9xc                kube-rbac-proxy                  IfNotPresent  gcr.io/kubebuilder/kube-rbac-proxy                                            v0.15.0
enkryptai-stack  opensearch-controller-manager-c9d999556-9b9xc                operator-controller-manager      Always        opensearchproject/opensearch-operator                                         2.8.0
enkryptai-stack  platform-b6f7478cb-dcdw8                                     jsc                              IfNotPresent  natsio/jetstream-controller                                                   0.19.1
enkryptai-stack  platform-cloudnative-pg-74659c7b5c-t45pb                     manager                          IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  platform-node-feature-discovery-gc-64c6fb5db5-lj8cl          gc                               IfNotPresent  registry.k8s.io/nfd/node-feature-discovery                                    v0.16.6
enkryptai-stack  platform-node-feature-discovery-master-58bd5b7dd7-2g4kk      master                           IfNotPresent  registry.k8s.io/nfd/node-feature-discovery                                    v0.16.6
enkryptai-stack  platform-node-feature-discovery-worker-dd9zm                 worker                           IfNotPresent  registry.k8s.io/nfd/node-feature-discovery                                    v0.16.6
enkryptai-stack  platform-node-feature-discovery-worker-mphtl                 worker                           IfNotPresent  registry.k8s.io/nfd/node-feature-discovery                                    v0.16.6
enkryptai-stack  platform-node-feature-discovery-worker-rxvgk                 worker                           IfNotPresent  registry.k8s.io/nfd/node-feature-discovery                                    v0.16.6
enkryptai-stack  redteam-proxy-bc66b98c9-7275j                                redteam-proxy                    IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/redteam-proxy     8cd384f
enkryptai-stack  redteam-proxy-bc66b98c9-d4pr8                                redteam-proxy                    IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-prod/redteam-proxy     8cd384f
enkryptai-stack  supabase-cluster-1                                           bootstrap-controller             IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  supabase-cluster-1                                           postgres                         IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/supabase                         16.0.1
enkryptai-stack  supabase-cluster-2                                           bootstrap-controller             IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  supabase-cluster-2                                           postgres                         IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/supabase                         16.0.1
enkryptai-stack  supabase-cluster-3                                           bootstrap-controller             IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  supabase-cluster-3                                           postgres                         IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/supabase                         16.0.1
enkryptai-stack  supabase-storage-596fb88b89-lw5ft                            init-db                          IfNotPresent  postgres                                                                      15-alpine
enkryptai-stack  supabase-storage-596fb88b89-lw5ft                            init-bucket                      IfNotPresent  minio/mc                                                                      -
enkryptai-stack  supabase-storage-596fb88b89-lw5ft                            supabase-storage                 IfNotPresent  supabase/storage-api                                                          v1.19.1
ingress-nginx    ingress-nginx-controller-7f894db6f-bl74k                     controller                       IfNotPresent  registry.k8s.io/ingress-nginx/controller                                      v1.13.3@sha256:1b044f6dcac3afbb59e05d98463f1dec6f3d3fb99940bc12ca5d80270358e3bd
kube-system      aws-node-dm98n                                               aws-vpc-cni-init                 Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni-init              v1.19.5-eksbuild.1
kube-system      aws-node-dm98n                                               aws-node                         IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni                   v1.19.5-eksbuild.1
kube-system      aws-node-dm98n                                               aws-eks-nodeagent                Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon/aws-network-policy-agent  v1.2.1-eksbuild.1
kube-system      aws-node-grqnl                                               aws-vpc-cni-init                 Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni-init              v1.19.5-eksbuild.1
kube-system      aws-node-grqnl                                               aws-node                         IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni                   v1.19.5-eksbuild.1
kube-system      aws-node-grqnl                                               aws-eks-nodeagent                Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon/aws-network-policy-agent  v1.2.1-eksbuild.1
kube-system      aws-node-jlm9d                                               aws-vpc-cni-init                 Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni-init              v1.19.5-eksbuild.1
kube-system      aws-node-jlm9d                                               aws-node                         IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni                   v1.19.5-eksbuild.1
kube-system      aws-node-jlm9d                                               aws-eks-nodeagent                Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon/aws-network-policy-agent  v1.2.1-eksbuild.1
kube-system      aws-node-q4pxw                                               aws-vpc-cni-init                 Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni-init              v1.19.5-eksbuild.1
kube-system      aws-node-q4pxw                                               aws-node                         IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon-k8s-cni                   v1.19.5-eksbuild.1
kube-system      aws-node-q4pxw                                               aws-eks-nodeagent                Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/amazon/aws-network-policy-agent  v1.2.1-eksbuild.1
kube-system      coredns-7bf648ff5d-8wvpl                                     coredns                          IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/coredns                      v1.12.1-eksbuild.2
kube-system      coredns-7bf648ff5d-p5kkz                                     coredns                          IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/coredns                      v1.12.1-eksbuild.2
kube-system      ebs-csi-controller-f8d749965-db9ph                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-controller-f8d749965-db9ph                           csi-provisioner                  IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-provisioner              v5.3.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-db9ph                           csi-attacher                     IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-attacher                 v4.9.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-db9ph                           csi-snapshotter                  IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-snapshotter              v8.3.0-eksbuild.2
kube-system      ebs-csi-controller-f8d749965-db9ph                           csi-resizer                      IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-resizer                  v1.14.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-db9ph                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
kube-system      ebs-csi-controller-f8d749965-pd4qj                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-controller-f8d749965-pd4qj                           csi-provisioner                  IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-provisioner              v5.3.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-pd4qj                           csi-attacher                     IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-attacher                 v4.9.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-pd4qj                           csi-snapshotter                  IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-snapshotter              v8.3.0-eksbuild.2
kube-system      ebs-csi-controller-f8d749965-pd4qj                           csi-resizer                      IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-resizer                  v1.14.0-eksbuild.4
kube-system      ebs-csi-controller-f8d749965-pd4qj                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
kube-system      ebs-csi-node-2xgtl                                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-node-2xgtl                                           node-driver-registrar            IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-node-driver-registrar    v2.14.0-eksbuild.5
kube-system      ebs-csi-node-2xgtl                                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
kube-system      ebs-csi-node-8jmqp                                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-node-8jmqp                                           node-driver-registrar            IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-node-driver-registrar    v2.14.0-eksbuild.5
kube-system      ebs-csi-node-8jmqp                                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
